founded_year,region,city,country_code,avg_funding,total_funding
2001,Raleigh,Cary,USA,450000,450000
2001,"Los Angeles","West Hollywood",USA,445000,890000
2001,"BRA - Other",Sorocaba,BRA,442457,442457
2001,Cwmbran,Cwmbran,GBR,441000,441000
2001,"WA - Other",Richland,USA,440000,440000
2001,Dubai,Dubai,ARE,437249.75,1748999
2001,"GBR - Other",Kidderminster,GBR,430548,430548
2001,Rome,Rome,ITA,425975,425975
2001,Houston,Stafford,USA,424999,424999
2001,"MO - Other","O Fallon",USA,410000,410000
2001,"Kansas City",Independence,USA,400000,400000
2001,"CHE - Other",Renens,CHE,400000,400000
2001,Hartford,Groton,USA,390000,390000
2001,Girona,Girona,ESP,386483,386483
2001,Macclesfield,Macclesfield,GBR,383006,383006
2001,Brisbane,Brisbane,AUS,383000,383000
2001,Louisville,Louisville,USA,375000,375000
2001,Boston,Needham,USA,375000,375000
2001,Delhi,Delhi,IND,374090,748180
2001,"New York City",Highland,USA,360000,360000
2001,London,Guildford,GBR,358443,358443
2001,"Cordoba, ARG",CÃ³rdoba,ARG,350000,350000
2001,Atlanta,Suwanee,USA,350000,350000
2001,Worcester,Worcester,GBR,329695,329695
2001,Mauritius,"Port Louis Town",MUS,329122,329122
2001,"St. Louis",Columbia,USA,328000,328000
2001,"PRT - Other",Faro,PRT,328000,328000
2001,Pune,Pune,IND,316666.6666666667,950000
2001,Atlanta,"Peachtree City",USA,300000,300000
2001,Philadelphia,Jenkintown,USA,300000,300000
2001,"Lake Tahoe",Truckee,USA,300000,300000
2001,Indianapolis,"West Lafayette",USA,297000,594000
2001,"AR - Other",England,USA,282355,282355
2001,Valencia,Valencia,ESP,280492,1121968
2001,"Napa Valley",Sonoma,USA,280000,280000
2001,"Greenville - Spartanburg",Greenville,USA,280000,280000
2001,Newark,"Red Bank",USA,279000,558000
2001,Tirana,Tirana,ALB,276744.1287,276744.1287
2001,Bidart,Bidart,FRA,276500,553000
2001,Hartford,Darien,USA,275000,275000
2001,Phoenix,Peoria,USA,273186,273186
2001,"IRL - Other",Athlone,IRL,272000,272000
2001,"Portland, Oregon","Lake Oswego",USA,270000,810000
2001,Syracuse,Rome,USA,269344,269344
2001,Galway,Galway,IRL,263400,263400
2001,Seattle,Shoreline,USA,250000,250000
2001,Lisbon,Lisbon,PRT,250000,250000
2001,"AB - Other","Fort Mcmurray",CAN,250000,250000
2001,Asheville,Asheville,USA,250000,250000
2001,"Los Angeles","Rolling Hills Estates",USA,250000,250000
2001,Nashville,Goodlettsville,USA,250000,250000
2001,"VA - Other",Purcellville,USA,250000,250000
2001,"Grand Junction","Grand Junction",USA,250000,250000
2001,"CHE - Other",Balerna,CHE,250000,250000
2001,Orlando,Kissimmee,USA,250000,250000
2001,"NC - Other",Denver,USA,250000,250000
2001,Chicago,Barrington,USA,250000,250000
2001,Warsaw,Warsaw,POL,250000,250000
2001,Miami,Aventura,USA,225000,225000
2001,Boston,Newbury,USA,225000,225000
2001,Swansea,Swansea,GBR,215539,215539
2001,Lima,Lima,PER,211116,422232
2001,"FRA - Other",Voisins-le-bretonneux,FRA,205032,205032
2001,"BEL - Other",FerriÃ¨res,BEL,204189,204189
2001,Boston,Hingham,USA,200000,200000
2001,"FRA - Other",Tours-en-vimeu,FRA,200000,200000
2001,"Ontario - Inland Empire",Temecula,USA,200000,200000
2001,Utrecht,Breukelen,NLD,200000,200000
2001,Stoke-on-trent,Stoke-on-trent,GBR,195072,195072
2001,Baltimore,"Owings Mills",USA,185000,185000
2001,"BEL - Other",Nivelles,BEL,180187,180187
2001,Paris,Saint-prix,FRA,178559,178559
2001,Minneapolis,Eagan,USA,166000,166000
2001,Amman,Amman,JOR,160000,160000
2001,"Rio de Janeiro","Rio De Janeiro",BRA,157255.5,629022
2001,Lansing,Jackson,USA,157000,157000
2001,Chester,Chester,GBR,151978,151978
2001,"SF Bay Area","Scotts Valley",USA,150000,150000
2001,"PA - Other",Bellefonte,USA,150000,150000
2001,Greensboro,Burlington,USA,150000,150000
2001,"Albany, New York",Queensbury,USA,150000,150000
2001,Dallas,"Flower Mound",USA,150000,150000
2001,"FRA - Other",Biziat,FRA,149549,149549
2001,"EGY - Other","6 October City",EGY,145000,145000
2001,Anaheim,"Costa Mesa",USA,140000,140000
2001,Minneapolis,Plymouth,USA,137500,137500
2001,Perm,Yekaterinburg,RUS,135000,270000
2001,Bolzano,Bolzano,ITA,133620,133620
2001,Minneapolis,Minnetonka,USA,132500,132500
2001,Harrisburg,Carlisle,USA,130000,130000
2001,Nantes,Nantes,FRA,129679,129679
2001,Groningen,Groningen,NLD,126457.4218,126457.4218
2001,Newark,Parsippany,USA,125000,125000
2001,"New York City","New City",USA,125000,125000
2001,Orlando,Casselberry,USA,125000,125000
2001,Luxemburg,Luxembourg,LUX,124690,124690
2001,"CZE - Other",Pardubice,CZE,122738,122738
2001,Melbourne,Prahran,AUS,121000,121000
2001,"SF Bay Area",Newark,USA,120000,120000
2001,"RUS - Other",Zelenograd,RUS,117994,117994
2001,Brussels,Ghent,BEL,112267.33333333333,336802
2001,Austin,"Cedar Park",USA,100000,100000
2001,"Washington, D.C.","Southern Md Facility",USA,100000,100000
2001,Boston,Dedham,USA,100000,100000
2001,Kazan,Kazan,RUS,100000,100000
2001,Newark,"Fort Lee",USA,100000,100000
2001,Minneapolis,Excelsior,USA,100000,100000
2001,Seminole,Seminole,USA,97500,97500
2001,Kent,Kent,GBR,95445,95445
2001,Bogota,BogotÃ¡,COL,93819.5,187639
2001,"Rio de Janeiro","Belo Horizonte",BRA,90000,90000
2001,Prague,Prague,CZE,88260,176520
2001,"Manchester, New Hampshire",Rochester,USA,83606,83606
2001,Newark,Allendale,USA,80000,80000
2001,"LBN - Other",Tyre,LBN,80000,80000
2001,"KOR - Other",Dongan,KOR,75318,75318
2001,Newark,Hoboken,USA,75000,75000
2001,Surbiton,Surbiton,GBR,73785,147570
2001,"Idaho Falls","American Falls",USA,70000,70000
2001,Iasi,Iasi,ROM,70000,70000
2001,Brentford,Brentford,GBR,63906,63906
2001,Sofia,Sofia,BGR,60939.621585,121879.24317
2001,Roanoke,Blacksburg,USA,60000,60000
2001,Novosibirsk,Novosibirsk,RUS,60000,60000
2001,Santiago,Santiago,CHL,57332.6,859989
2001,"Los Angeles",Northridge,USA,55000,55000
2001,"SF Bay Area",Stanford,USA,50000,50000
2001,"Columbus, Ohio",Dublin,USA,50000,50000
2001,"Myrtle Beach","Myrtle Beach",USA,50000,50000
2001,"Washington, D.C.",Arlington,USA,50000,50000
2001,Dallas,"Little Elm",USA,50000,50000
2001,"Washington, D.C.",Chantilly,USA,50000,50000
2001,Recife,Recife,BRA,50000,50000
2001,"BRA - Other","JoÃ£o Pessoa",BRA,50000,50000
2001,"ESP - Other","Puerto De La Cruz",ESP,47000,47000
2001,Santiago,"Las Condes",CHL,40000,80000
2001,Minneapolis,Bloomington,USA,40000,40000
2001,"CHL - Other","Puerto Varas",CHL,40000,40000
2001,"CA - Other","Potter Valley",USA,40000,40000
2001,Kiev,Kyiv,UKR,40000,40000
2001,Dhaka,Dhaka,BGD,40000,40000
2001,Santiago,Providencia,CHL,40000,40000
2001,Rome,Roma,ITA,32521,32521
2001,"DE - Other","Delaware City",USA,30000,30000
2001,"CA - Other",La,USA,28000,28000
2001,"New Orleans",Metairie,USA,27000,27000
2001,Newark,Clifton,USA,25000,25000
2001,"Buenos Aires","Mar Del Plata",ARG,25000,25000
2001,Roanoke,Roanoke,USA,25000,25000
2001,"PA - Other",Ellsworth,USA,25000,25000
2001,Seattle,"Port Townsend",USA,25000,25000
2001,"Grand Junction",Telluride,USA,25000,25000
2001,"Myrtle Beach",Conway,USA,20900,20900
2001,Chicago,Homewood,USA,20454,20454
2001,"GBR - Other",Markyate,GBR,20118,20118
2001,"SF Bay Area","Santa Cruz",USA,20000,20000
2001,Kanpur,Kanpur,IND,20000,20000
2001,Kiev,Kiev,UKR,20000,20000
2001,"FRA - Other",Morzine,FRA,20000,20000
2001,"NY - Other",Queens,USA,20000,20000
2001,Cleveland,Brunswick,USA,20000,20000
2001,Guwahati,Guwahati,IND,19889,19889
2001,Reyjavik,ReykjavÃ­k,ISL,18223.5,36447
2001,"San Diego","El Cajon",USA,17408,17408
2001,Kampala,Kampala,UGA,15000,15000
2001,Chisinau,Chisinau,MDA,14168,14168
2001,Winnipeg,Winnipeg,CAN,11000,11000
2001,Toronto,Markham,CAN,10000,10000
2001,London,"Milton Keynes",GBR,10000,10000
2001,"New York City",Woodside,USA,10000,10000
2001,"Salem, Oregon",Mcminnville,USA,5000,5000
2001,Newark,Chatham,USA,3000,3000
2001,Dover,Georgetown,USA,2000,2000
2001,"South Bend",Lowell,USA,144,144
2002,Berlin,Berlin,DEU,117600000,117600000
2002,Madison,Madison,USA,15000000,15000000
2002,"Tel Aviv","Tel Aviv",ISR,7100000,7100000
2002,Mumbai,Mumbai,IND,6410000,6410000
2002,"SF Bay Area","Los Altos",USA,6300000,6300000
2002,Tokyo,Tokyo,JPN,5000000,5000000
2002,Houston,Houston,USA,4750000,4750000
2002,"KS - Other",Mission,USA,3800000,3800000
2002,Stockholm,Stockholm,SWE,3255000,3255000
2002,Indianapolis,Indianapolis,USA,3000000,3000000
2002,Bordeaux,Bordeaux,FRA,2435000,2435000
2002,Davao,"Davao City",PHL,2000000,2000000
2002,London,London,GBR,1931647,1931647
2002,Peterborough,Peterborough,GBR,858800,858800
2002,"New York City","New York",USA,618000,618000
2002,Seattle,Kirkland,USA,525000,525000
2002,Seattle,Vancouver,USA,500000,500000
2002,"New York City",Brooklyn,USA,355000,355000
2002,"SF Bay Area","Santa Clara",USA,288000,288000
2002,"Oklahoma City","Oklahoma City",USA,250000,250000
2002,Kosice,Kosice,SVK,242563,242563
2002,"San Antonio","San Antonio",USA,200000,200000
2002,Seattle,Seattle,USA,120000,120000
2002,"CO - Other",Carbondale,USA,100000,100000
2002,Santiago,Santiago,CHL,30000,30000
2002,"Greenville - Spartanburg",Greenville,USA,15000,15000
2003,Kolkata,Kolkata,IND,1176830000,1176830000
2003,Chicago,Itasca,USA,276108581,276108581
2003,"Palm Beaches","Delray Beach",USA,26797834,26797834
2003,Indianapolis,Indianapolis,USA,25732374,25732374
2003,"SF Bay Area","San Francisco",USA,11239245.420000002,33717736.260000005
2003,Copenhagen,Copenhagen,DNK,5500000,5500000
2003,Anaheim,Irvine,USA,3475204,3475204
2003,Beijing,Beijing,CHN,3107198,3107198
2003,Baltimore,Arnold,USA,2569720,2569720
2003,Madison,Madison,USA,2518000,2518000
2003,"Ft. Lauderdale","Fort Lauderdale",USA,2450000,2450000
2003,London,London,GBR,2440000,2440000
2003,Montgomery,Montgomery,USA,2300000,2300000
2003,Taiwan,Taipei,TWN,2195355,2195355
2003,Atlanta,Atlanta,USA,1200000,1200000
2003,Manila,Makati,PHL,1016000,1016000
2003,"Salt Lake City",Bountiful,USA,670000,1340000
2003,"SF Bay Area","Santa Clara",USA,425000,425000
2003,Madrid,Madrid,ESP,389590,389590
2003,Denver,Broomfield,USA,200000,200000
2003,Boston,Cambridge,USA,152500,152500
2003,Denver,Boulder,USA,118000,118000
2003,Miami,"Key Biscayne",USA,40000,40000
2003,Amman,Amman,JOR,30000,30000
2003,"Wilmington, Delaware",Wilmington,USA,25000,25000
2003,"Rio de Janeiro","Rio De Janeiro",BRA,24000,24000
2003,"MD - Other","Temple Hills",USA,100,100
2004,"Columbus, Ohio",Columbus,USA,10975000,10975000
2004,"SF Bay Area",Pittsburg,USA,9300000,9300000
2004,Copenhagen,Copenhagen,DNK,7894342,7894342
2004,Madison,Madison,USA,4000000,4000000
2004,"New York City","Long Island City",USA,3900000,3900000
2004,Lagos,Lagos,NGA,3715000,3715000
2004,Jakarta,Jakarta,IDN,2700000,2700000
2004,Montpellier,Montpellier,FRA,1770000,1770000
2004,"SF Bay Area","San Francisco",USA,1700000,1700000
2004,Paris,Paris,FRA,1461293.3333333333,4383880
2004,Barcelona,Barcelona,ESP,1430000,1430000
2004,"SF Bay Area",Cupertino,USA,1400000,1400000
2004,Phoenix,Phoenix,USA,1000000,1000000
2004,Mumbai,Mumbai,IND,1000000,1000000
2004,Seattle,Issaquah,USA,900000,900000
2004,Atlanta,Atlanta,USA,900000,1800000
2004,"DE - Other","Delaware City",USA,700000,700000
2004,Brussels,Hasselt,BEL,687565,687565
2004,Manila,Makati,PHL,600000,600000
2004,Atlanta,Alpharetta,USA,500000,500000
2004,"San Antonio","San Antonio",USA,380000,380000
2004,Brisbane,Brisbane,AUS,360000,360000
2004,"New York City","New York",USA,209000,418000
2004,Edinburgh,Edinburgh,GBR,165992,165992
2004,Milwaukee,Milwaukee,USA,150000,150000
2004,Richmond,Richmond,USA,100000,100000
2004,Rotterdam,Rotterdam,NLD,50000,50000
2004,Boston,Boston,USA,34000,68000
2005,"SF Bay Area","San Francisco",USA,21863247.833333332,131179487
2005,"Los Angeles","Santa Monica",USA,8900000,8900000
2005,"Los Angeles","Los Angeles",USA,5000000,5000000
2005,"SF Bay Area","Palo Alto",USA,2525563,2525563
2005,Baltimore,Baltimore,USA,1800000,1800000
2005,Rennes,Rennes,FRA,1670000,1670000
2005,Raleigh,Durham,USA,1565000,1565000
2005,London,London,GBR,1054105.5,2108211
2005,"New York City","New York",USA,1000000,1000000
2005,Huddersfield,Huddersfield,GBR,909150,909150
2005,Belfast,Belfast,GBR,610540,610540
2005,"MD - Other","La Plata",USA,450000,450000
2005,"SF Bay Area","San Jose",USA,300000,300000
2005,"New Delhi","New Delhi",IND,50000,50000
2005,"Cordoba, ARG",CÃ³rdoba,ARG,40000,40000
2005,Chandigarh,Chandigarh,IND,25000,25000
2005,Calgary,Calgary,CAN,20000,20000
2006,Toronto,Toronto,CAN,31711985,31711985
2006,"SF Bay Area","San Francisco",USA,15000000,15000000
2006,"New York City",Poughkeepsie,USA,9402703,9402703
2006,"SF Bay Area","Mountain View",USA,7700000,7700000
2006,"Washington, D.C.",Arlington,USA,2300000,2300000
2006,Boston,Boston,USA,1767000,1767000
2006,"New York City","New York",USA,1350000,2700000
2006,Madison,Madison,USA,1000000,1000000
2006,"SF Bay Area","Redwood City",USA,400000,400000
2006,"Los Angeles","Los Angeles",USA,200000,200000
2006,Vancouver,Victoria,CAN,176988,176988
2006,Barcelona,Barcelona,ESP,94582,94582
2006,"MD - Other","Upper Marlboro",USA,59000,59000
2007,"SF Bay Area","San Mateo",USA,118400035,118400035
2007,London,London,GBR,18086289,54258867
2007,Boston,Burlington,USA,11999347,11999347
2007,Detroit,Plymouth,USA,10065000,10065000
2007,Anaheim,"Newport Beach",USA,10000000,10000000
2007,Valladolid,Valladolid,ESP,9500000,9500000
2007,London,Oxford,GBR,6000000,6000000
2007,"New York City","New York",USA,4970000,9940000
2007,"Los Angeles","West Hollywood",USA,3425000,3425000
2007,Malmo,MalmÃ¶,SWE,3040733,3040733
2007,Madrid,Madrid,ESP,2942768.889,2942768.889
2007,"Grand Junction",Durango,USA,2450000,2450000
2007,Clermont-ferrand,Clermont-ferrand,FRA,2000000,2000000
2007,Munich,Munich,DEU,1500000,1500000
2007,Tokyo,Tokyo,JPN,1010166,2020332
2007,"SF Bay Area","Mountain View",USA,1000000,1000000
2007,Helsinki,Helsinki,FIN,968755,968755
2007,Berlin,Berlin,DEU,941049,941049
2007,Providence,Providence,USA,794000,794000
2007,Uxbridge,Uxbridge,GBR,600000,600000
2007,Frankfurt,Frankfurt,DEU,550000,550000
2007,"San Antonio","San Antonio",USA,350000,350000
2007,"SF Bay Area","Los Gatos",USA,325000,325000
2007,Jakarta,Jakarta,IDN,100000,100000
2007,"FL - Other","Belleair Beach",USA,100000,100000
2007,Trondheim,Trondheim,NOR,67000,67000
2007,Chennai,Chennai,IND,50000,50000
2008,"SF Bay Area","San Mateo",USA,320288000,320288000
2008,Beijing,Beijing,CHN,35000000,70000000
2008,"SF Bay Area","San Bruno",USA,27000000,27000000
2008,Austin,Austin,USA,20000000,20000000
2008,Tokyo,Tokyo,JPN,15800000,15800000
2008,"New York City","New York",USA,8156250,32625000
2008,Anaheim,Orange,USA,4000000,4000000
2008,"SF Bay Area","San Francisco",USA,2326660,6979980
2008,Baar,Baar,CHE,2254193,2254193
2008,Philadelphia,Philadelphia,USA,1550000,1550000
2008,"Washington, D.C.",Washington,USA,1075000,2150000
2008,Moscow,Moscow,RUS,900000,900000
2008,"New York City",Brooklyn,USA,620000,620000
2008,"New Orleans","New Orleans",USA,500000,500000
2008,Denver,Longmont,USA,475000,475000
2008,Hyderabad,Hyderabad,IND,396497,396497
2008,"SF Bay Area","Menlo Park",USA,350000,350000
2008,London,London,GBR,100000,100000
2008,"Los Angeles","Los Angeles",USA,100000,100000
2008,"MS - Other",Georgetown,USA,90000,90000
2008,Santiago,Santiago,CHL,64512,64512
2008,Nashville,Nashville,USA,50000,50000
2008,Providence,Providence,USA,20000,20000
2009,"SF Bay Area","San Francisco",USA,37950000,113850000
2009,"Los Angeles","Los Angeles",USA,1523000,1523000
2009,Barcelona,Barcelona,ESP,1368157,1368157
2009,Tokyo,Tokyo,JPN,1080000,1080000
2009,"SF Bay Area",Berkeley,USA,1000000,1000000
2009,"Henley On Thames","Henley On Thames",GBR,900000,900000
2009,"New York City","New York",USA,260000,520000
2009,Copenhagen,Copenhagen,DNK,187291,187291
2009,Pune,Pune,IND,156858,156858
2009,Moscow,Moscow,RUS,150000,150000
2009,Sofia,Sofia,BGR,106879.1683,106879.1683
2009,"Manchester, New Hampshire",Nashua,USA,50000,50000
2009,Jonkoping,JÃ¶nkÃ¶ping,SWE,50000,50000
2009,Osijek,Osijek,HRV,30000,30000
2009,"San Diego","San Diego",USA,20000,20000
2010,"SF Bay Area","Palo Alto",USA,12200000,12200000
2010,"SF Bay Area","San Francisco",USA,11194021.5,22388043
2010,"SVN - Other",Col,SVN,11017508,11017508
2010,"New Delhi",Gurgaon,IND,10000000,10000000
2010,Stockholm,Kista,SWE,7267800,7267800
2010,Seattle,Seattle,USA,6515000,6515000
2010,Indianapolis,Indianapolis,USA,6116923,6116923
2010,Boston,Boston,USA,6090000,6090000
2010,Stockholm,Stockholm,SWE,5000000,5000000
2010,Seoul,Seoul,KOR,4632823,9265646
2010,London,London,GBR,3242797.5,6485595
2010,"Sunderland Bridge","Sunderland Bridge",GBR,1121078,1121078
2010,Paris,Paris,FRA,1067625,1067625
2010,Porto,Porto,PRT,885313,885313
2010,Warsaw,Warsaw,POL,818499.9006,818499.9006
2010,"NLD - Other",Gorinchem,NLD,619494,619494
2010,Madison,Madison,USA,580000,580000
2010,Tampa,Tampa,USA,500000,500000
2010,Ottawa,Ottawa,CAN,393669,393669
2010,Madrid,Madrid,ESP,335068,335068
2010,Sheffield,Sheffield,GBR,267689,267689
2010,"St. Petersburg","Saint Petersburg",RUS,200000,200000
2010,Santiago,Santiago,CHL,160000,160000
2010,Baltimore,Baltimore,USA,100000,100000
2010,"BRA - Other",MaringÃ¡,BRA,97560,97560
2010,Vancouver,Vancouver,CAN,81874,81874
2010,Curitiba,Curitiba,BRA,75000,75000
2010,"GBR - Other",Wellington,GBR,50000,50000
2010,Tokyo,Tokyo,JPN,43138,43138
2010,"New York City","New York",USA,35000,35000
2010,"Los Angeles","Los Angeles",USA,25000,25000
2010,"Portland, Oregon",Portland,USA,25000,25000
2010,Cairo,Cairo,EGY,24000,24000
2010,Nashville,Nashville,USA,15000,15000
2011,"New York City","New York",USA,16500000,16500000
2011,Seattle,Seattle,USA,8015125.5,16030251
2011,"SF Bay Area","San Francisco",USA,4750244.6,23751223
2011,Zurich,ZÃ¼rich,CHE,2600000,2600000
2011,"Sao Paulo","SÃ£o Paulo",BRA,2500000,2500000
2011,"Los Angeles","Los Angeles",USA,1000000,1000000
2011,Miami,"North Miami Beach",USA,1000000,1000000
2011,Toronto,Toronto,CAN,450000,450000
2011,"Rio de Janeiro","Rio De Janeiro",BRA,449775,449775
2011,London,Reading,GBR,380000,380000
2011,Bangkok,Bangkok,THA,300000,300000
2011,Branson,Springfield,USA,283500,283500
2011,"SF Bay Area","Mountain View",USA,250000,250000
2011,Philadelphia,Philadelphia,USA,200000,200000
2011,Philadelphia,Bristol,USA,200000,200000
2011,"St. Petersburg","Saint Petersburg",RUS,50000,50000
2011,"SF Bay Area",Berkeley,USA,47409,47409
2011,"Ft. Lauderdale","Pompano Beach",USA,45000,45000
2011,London,London,GBR,40000,40000
2011,Tampa,Tampa,USA,25000,25000
2011,"IND - Other",Kormangala,IND,2500,2500
2012,"Salt Lake City","Salt Lake City",USA,142825000,142825000
2012,Tokyo,Tokyo,JPN,26977411,26977411
2012,Moscow,Moscow,RUS,4495000,8990000
2012,"SF Bay Area","Redwood City",USA,2000000,2000000
2012,Tampa,"Palm Harbor",USA,1500000,1500000
2012,"Los Angeles",Venice,USA,1200000,1200000
2012,Cyprus,Limassol,CYP,900000,900000
2012,"New York City",Brooklyn,USA,450000,450000
2012,"SF Bay Area",Sunnyvale,USA,355000,355000
2012,Santiago,Santiago,CHL,307500,615000
2012,"Long Island","West Babylon",USA,275000,275000
2012,Jakarta,Jakarta,IDN,250000,250000
2012,Munich,Munich,DEU,234705,234705
2012,"THA - Other",Nonthaburi,THA,150000,150000
2012,London,London,GBR,99234,99234
2012,"San Diego","San Diego",USA,36000,72000
2012,"BWA - Other",Ramotswa,BWA,1000,1000
2013,"SF Bay Area","San Francisco",USA,23499999,23499999
2013,Tokyo,Tokyo,JPN,1000000,1000000
2013,Zurich,ZÃ¼rich,CHE,1000000,1000000
2013,"Quebec City",Quebec,CAN,360000,360000
2013,London,London,GBR,327627.25,1310509
2013,Milan,Milan,ITA,278485,278485
2013,Newark,Cranbury,USA,250000,250000
2013,Santiago,Santiago,CHL,206000,206000
2013,Tampa,"Palm Harbor",USA,200000,200000
2013,Budapest,Budapest,HUN,130000,130000
2013,Frankfurt,Frankfurt,DEU,130000,130000
2013,"St. Louis",Ballwin,USA,100000,100000
2013,Reyjavik,ReykjavÃ­k,ISL,100000,100000
2013,Munich,Munich,DEU,66299,66299
2013,"New Delhi","New Delhi",IND,35000,35000
2013,Denver,Boulder,USA,20000,20000
2013,Atlanta,Atlanta,USA,12500,12500
2013,Caerphilly,Caerphilly,GBR,12160,12160
2013,Sacramento,"Elk Grove",USA,6000,6000
2014,Sydney,"Surry Hills",AUS,7817974,7817974
2014,"New York City","New York",USA,7250000,14500000
2014,Tokyo,Shibuya,JPN,6949015,6949015
2014,"SF Bay Area","San Francisco",USA,4177500,8355000
2014,Newark,"South Plainfield",USA,2999999,2999999
2014,Manila,"Quezon City",PHL,2000000,2000000
2014,Boston,Boston,USA,1250000,1250000
2014,London,London,GBR,1200000,2400000
2014,Birmingham,Birmingham,USA,500000,500000
2014,Madrid,Madrid,ESP,384000,384000
2014,Seoul,Seoul,KOR,332496.5,664993
2014,Raleigh,Raleigh,USA,250000,250000
2014,"Oklahoma City",Stillwater,USA,250000,250000
2014,Dover,Lewes,USA,175000,175000
2014,Bangalore,Bangalore,IND,155000,310000
2014,Austin,Austin,USA,150000,150000
2014,"Los Angeles","Santa Monica",USA,125000,125000
2014,Memphis,Memphis,USA,95000,190000
2014,"Ontario - Inland Empire",Walnut,USA,10000,10000
2015,Beijing,Beijing,CHN,200000000,200000000
2015,Swindon,Swindon,GBR,10000000,10000000
2015,Chicago,Evanston,USA,6537500,13075000
2015,"Los Angeles","Los Angeles",USA,6000000,6000000
2015,Boston,Lexington,USA,5954000,5954000
2015,Omaha,Omaha,USA,5400000,5400000
2015,Barcelona,Barcelona,ESP,5045650.011,5045650.011
2015,Atlanta,Atlanta,USA,3455000,3455000
2015,"Washington, D.C.",Washington,USA,2900000,2900000
2015,Richmond,Mechanicsville,USA,2121750,2121750
2015,Reyjavik,ReykjavÃ­k,ISL,2000000,2000000
2015,Amsterdam,Amsterdam,NLD,2000000,2000000
2015,"SF Bay Area","Mountain View",USA,1875000,1875000
2015,"Salt Lake City","Salt Lake City",USA,1750000,1750000
2015,Budapest,Budapest,HUN,1700000,1700000
2015,Tokyo,Tokyo,JPN,1600000,1600000
2015,"New York City","New York",USA,1589000,3178000
2015,"Napa Valley",Napa,USA,1400000,2800000
2015,"SF Bay Area","San Francisco",USA,1300000,1300000
2015,"SF Bay Area","Santa Clara",USA,1210000,2420000
2015,London,London,GBR,1198812.5,2397625
2015,"New York City",Kingston,USA,830000,830000
2015,"Tel Aviv","Tel Aviv",ISR,750000,750000
2015,Miami,"Miami Beach",USA,500000,500000
2015,"Orange County, California",Tustin,USA,500000,500000
2015,"Mexico City","Mexico City",MEX,440000,440000
2015,Toronto,Kitchener,CAN,300000,300000
2015,Adelaide,Adelaide,AUS,262927.2568,262927.2568
2015,"SF Bay Area","San Jose",USA,250000,250000
2015,"SWE - Other","Ã„ngelholms Havsbad",SWE,220000,220000
2015,"Los Angeles","Santa Monica",USA,200000,200000
2015,Bangkok,Bangkok,THA,130861,130861
2015,"DEU - Other",Kreuzberg,DEU,125000,125000
2015,Santiago,Santiago,CHL,100000,100000
2015,Bangalore,Bangalore,IND,100000,100000
2015,Seminole,Seminole,USA,75000,75000
2015,Orlando,"Lake Mary",USA,50000,50000
2015,"SF Bay Area",Sausalito,USA,50000,50000
2015,Jakarta,Jakarta,IDN,50000,50000
2015,Atlanta,Lilburn,USA,45000,45000
2015,Seattle,Seattle,USA,40000,40000
2015,"MO - Other",Steelville,USA,30000,30000
2015,Phoenix,Scottsdale,USA,20000,20000
2015,Groningen,Groningen,NLD,12989,12989
2015,Ahmedabad,Ahmedabad,IND,3201,3201
2016,Beijing,Beijing,CHN,199050000,398100000
2016,Newark,"Berkeley Heights",USA,44741834,44741834
2016,Toronto,Waterloo,CAN,14037121,14037121
2016,"Sao Paulo","SÃ£o Paulo",BRA,5400000,5400000
2016,"SF Bay Area",Campbell,USA,2000000,2000000
2016,"Rochester, Minnesota",Rochester,USA,1762800,1762800
2016,Chicago,Chicago,USA,950000,950000
2016,Bangalore,Bangalore,IND,925000,1850000
2016,Venice,Venice,ITA,779302,779302
2016,"SF Bay Area","San Francisco",USA,706000,1412000
2016,Seoul,Seoul,KOR,519657,1039314
2016,Santiago,Santiago,CHL,500000,500000
2016,Boston,Cambridge,USA,443000,443000
2016,"Las Vegas","Las Vegas",USA,292486,292486
2016,Rome,Rome,ITA,161211.1615,161211.1615
2016,"New York City","New York",USA,112500,225000
2016,"SF Bay Area","San Jose",USA,100000,100000
2016,London,London,GBR,69247,69247
2016,Wellington,Wellington,NZL,40000,40000
2016,Moscow,Moscow,RUS,25000,25000
2016,"BRA - Other","Buenos Aires",BRA,23522,23522
2016,"OH - Other","North Hampton",USA,10000,10000
2016,Jaipur,Jaipur,IND,8217,8217
2016,Anchorage,Anchorage,USA,1000,1000
2017,"SF Bay Area","San Francisco",USA,51484799.6,257423998
2017,"New York City","New York",USA,45000000,45000000
2017,Seattle,Bellevue,USA,28787632,28787632
2017,Hartford,"West Hartford",USA,8802628,8802628
2017,Hartford,Westport,USA,3250000,3250000
2017,Vancouver,Vancouver,CAN,910000,910000
2017,Austin,Austin,USA,550000,550000
2017,"New Delhi",Gurgaon,IND,500000,500000
2017,"CRI - Other",Argentina,CRI,480000,480000
2017,Phoenix,Scottsdale,USA,300000,300000
2017,Madrid,Madrid,ESP,291841,291841
2017,Newark,Edgewater,USA,250000,250000
2017,"Washington, D.C.",Arlington,USA,105000,105000
2017,"Tel Aviv","Herzlia B",ISR,100000,100000
2017,Tampa,Tampa,USA,100000,100000
2017,"St. Louis","Saint Louis",USA,50000,50000
2017,Santiago,Santiago,CHL,40000,40000
2017,"SF Bay Area",Sunnyvale,USA,28000,28000
2017,"AR - Other",Palestine,USA,20000,20000
2018,"SF Bay Area",Milpitas,USA,12350000,12350000
