country_code,category_list,average_funding,num_startups
USA,"Advertising Exchanges|Advertising Platforms|Brand Marketing|Marketing Automation|Marketplaces|Mobile Advertising|Mobile Software Tools",20000,1
USA,Advertising|Analytics|Displays|Software,29575000,1
TWN,"Hardware + Software",2195355,1
USA,"News|Social Commerce|Social Media",56464869,1
USA,"Cause Marketing|Charity",60000,1
USA,"Advertising|Apps|Brand Marketing|Loyalty Programs",2300000,1
GBR,"Leisure|Lifestyle|Travel & Tourism|Vacation Rentals",69247,1
USA,Advertising|Monetization|Video,15828075.5,2
USA,"Business Services|Consulting|Outsourcing",2000000,1
TUR,Advertising|Services|Software,1000000,1
GBR,"Advertising|Incentives|Loyalty Programs|Video|Video on Demand",3274546,1
IND,"Advertising Platforms|Apps|Monetization",632000,1
USA,Advertising|Displays|Graphics,17807000,1
USA,Mobile|Security,340000,1
USA,"Advertising|Internet TV|Television",10000000,1
USA,"Ad Targeting|Advertising|Email|Optimization",1000000,1
USA,"Consulting|Engineering Firms|Navigation",3496554,1
USA,Advertising|Services|Software,20000000,1
DEU,Advertising,6150000,1
CHE,Advertising,6950000,1
RUS,Advertising,3405998,3
AUS,Advertising|Media|Technology,31634312,1
USA,"Advertising|Digital Media|Internet Marketing|Mobile Advertising|Online Video Advertising",10500000,1
USA,"Advertising Exchanges|Advertising Networks|Advertising Platforms|Mobile Advertising",500000,1
DEU,"Ad Targeting|Analytics|Location Based Services|Mobile",5700000,1
USA,"Advertising|Enterprises|Internet|Machine Learning|Sales and Marketing|Search|SEO|Social Media|Software",10250000,1
USA,"Advertising|Outdoor Advertising",3118000,1
FRA,News,809425,1
USA,"Advertising|Internet Radio Market",2973600,1
GBR,Advertising|Startups,314000,1
USA,Mobile|Technology,56076191,2
USA,"Marketing Automation",6000000,1
USA,"Analytics|Mobile Advertising|Mobile Analytics|Television",500000,1
GBR,"Advertising|Optimization|Real Time",49167,1
USA,"Clean Energy|Clean Technology|Lighting",25500000,1
USA,"Advertising|Incentives|Internet|Performance Marketing|Sales and Marketing|Search",100000,1
DNK,"Medical Devices",1299826,1
USA,"Health Care|Information Technology|Medical|Pharmaceuticals",40000000,1
FRA,"Biotechnology|Health Diagnostics",52750600,1
USA,"Biotechnology|Health Care|Life Sciences",14350000,1
PRT,Manufacturing,1500000,1
IRL,"Enterprise Software|Mobile",1021575,1
USA,Medical,460416.6666666667,6
ESP,"Health Care",16211800,1
USA,"Advertising|Business Intelligence|Sales and Marketing|Software|Technology",500000,1
ISR,"Clean Technology",6640000,5
USA,"Renewable Energies",12500000,2
GBR,"Health Care",13167793,3
ISR,Biotechnology,19230000,5
USA,"Internet|Knowledge Management|Medical",12000000,1
USA,Computers|Software|Technology,6000000,1
USA,"Clean Technology|Manufacturing",335000,1
USA,"Fitness|Health and Wellness|Health Care|Medical Devices|Security",250000,1
USA,"Digital Media|Monetization|Wireless",2152000,1
ISR,Semiconductors,66706666.666666664,3
USA,E-Commerce|Marketplaces|SaaS|Travel,3500000,1
FRA,Travel,20000,1
USA,Entertainment|Games|Tourism,50000,1
USA,"Education|Fitness|Health and Wellness|Kids|Recipes",1500000,1
USA,"Adventure Travel|Curated Web|Outdoors|Travel",100000,1
USA,"Big Data Analytics|Health and Wellness|Health Care Information Technology|Pharmaceuticals",2000000,1
USA,"Insurance|Lead Generation|Legal",1000000,1
USA,"E-Commerce|Internet Marketing|Mobile|Social Commerce|Social Media Marketing",395000,1
GBR,"FinTech|Gamification|Machine Learning|Robotics",1670000,1
CAN,"Law Enforcement|Legal",176988,1
USA,"Advertising|Content Creators|Digital Media|Video",300000,1
NLD,Finance|Incentives,12989,1
USA,"Advertising Networks|Advertising Platforms|Mobile Advertising|Online Video Advertising|Social Media Advertising",400000,1
ITA,"Finance|Investment Management|Social Network Media|Stock Exchanges|Wealth Management",1313100,1
CHL,"Advice|Blogging Platforms|Consulting",100000,1
USA,Finance|Internet|Media|News,25000,1
FRA,"Brokers|Consulting|Finance|Finance Technology|FinTech|Insurance|Trading",736050,1
USA,"Apps|Financial Services|Software",1740000,1
DEU,"B2B|Consulting|Legal|Online Scheduling|Video Conferencing",69247,1
USA,"Politics|Polling|Professional Networking|Social Fundraising",120000,1
USA,"Advertising|Games|Marketing Automation",1200000,1
FRA,Advertising|Media|News|Television,269133,1
JPN,Advertising|Apps|Discounts|Incentives|Mobile,17776000,1
GBR,Advertising,24997,1
RUS,"Advertising|Android|iPhone|Media|Mobile|Web Development|Windows Phone 7",351681,1
IND,"Advertising|Mobile Commerce|Social Media Marketing",1000000,1
USA,Advertising|Analytics|SaaS,22800000,1
USA,"Advertising|Analytics|Finance|Sales and Marketing",6700000,1
NLD,Payments,266000000,1
GBR,"Advertising|Advertising Exchanges|Advertising Networks|Advertising Platforms|Media|Video",1908820,1
USA,"Advertising|Marketplaces|Social Media",250000,1
USA,"Advertising|Advertising Platforms|Developer APIs|SaaS",650000,1
GBR,"Career Management|Classifieds|Employment|Search",5997205,1
USA,Colleges|Software,3428750,1
USA,"Information Technology|Semiconductors",8000000,1
CAN,Mobile,19782437.666666668,3
USA,"Biotechnology|Health Care|Therapeutics",86500000,2
BRA,"Analytics|Big Data|Business Intelligence|Predictive Analytics",503757,1
GBR,"Web Hosting",25600000,2
USA,"Digital Media|Television|Video Streaming",97000000,1
USA,Games|Networking,288000,1
NLD,Aerospace|Drones,4088548,1
USA,Mobile|Video,1000000,1
USA,"Gps|Internet of Things|M2M|Smart Grid|Telecommunications",1000000,1
USA,"Clean Technology|Hospitality",500000,1
USA,"Cloud Computing|Enterprise Software|Storage",15500000,1
USA,"Direct Sales|Home & Garden|Wholesale",13000341,1
USA,Transportation,200000,1
BRA,Aerospace|Defense|Services,243000,1
NZL,Aerospace,1172067.292,1
USA,Consumers|E-Commerce,150000000,1
USA,Mobile|RFID|Wireless,49000000,1
USA,"Analytics|Auctions|Big Data|Databases|Real Time",22000000,1
USA,Aerospace,600000,1
CAN,DOD/Military|Photography,60000000,1
USA,"Business Services|Enterprise Application|Enterprise Software|Information Technology|Innovation Management|Professional Services",6000000,1
USA,"Education|Nonprofits|Small and Medium Businesses|Startups",3000000,1
JPN,"Curated Web",57939,1
USA,"Electrical Distribution|Lighting|UV LEDs",60000,1
USA,"Social Media|Travel",16000000,1
BRA,Advertising,1415260,1
IND,"Analytics|Big Data",100000,1
USA,Internet|Networking|Software|Wireless,550000,1
CAN,"Advertising|Consumer Behavior|Content Discovery|Social Media Marketing",5550000,1
USA,"Advertising|Design|Product Development Services",1500000,1
CHN,E-Commerce|Finance|Lifestyle|Tourism|Travel,1300000,1
USA,"Ad Targeting|Advertising|Digital Media|Mobile Advertising",85000000,1
USA,Advertising|Apps,2900000,1
USA,"Mobile|Mobile Advertising|Private Social Networking|Social Media",1200000,1
USA,"Alumni|Career Management|Social Recruiting|Software",5540000,1
CAN,Mobile|Software,1474718,1
USA,"Enterprise Software|SaaS",64356900,5
USA,"Biotechnology|Health Care|Pharmaceuticals",81800000,1
USA,"Finance Technology|Financial Services|FinTech|Payments",320000000,1
GBR,"Real Estate",215539,1
ARG,"Consumer Lending|Finance|FinTech|Peer-to-Peer",2775000,1
USA,"Cloud Data Services|Enterprise Software|SaaS|Video|Web Development",9850000,1
FRA,"Education|Health and Wellness|P2P Money Transfer",3494416,1
NLD,E-Commerce,120000000,1
USA,"Health Care Information Technology|Mobile|SaaS",200000,1
CAN,"3D|Architecture|CAD|Construction|Manufacturing|Real Estate|SaaS|Software|Web Development",1107000,1
USA,"Curated Web|Marketplaces|Weddings",20000,1
PHL,"Clean Technology",144000000,1
USA,"Business Development|Enterprise Software|Technology",21500000,1
USA,"Health and Wellness|Health Care|Medical Devices",23660000,1
USA,SaaS|Security,21850000,2
USA,"Collaboration|File Sharing|Mobile|Software",2100000,1
USA,"Internet|Internet Service Providers|Project Management",1000000,1
USA,"Mobile|Privacy|Software Compliance",2000000,1
USA,"Public Relations|Social Media Marketing",10000,1
USA,"Analytics|Big Data|Databases|EdTech|Education|Health Care Information Technology|Mobile Health|Risk Management|Software",425000,1
USA,Analytics|Creative|Design|Internet|Networking|Services|Startups,35000,1
CHL,"Online Scheduling",100000,1
NLD,Biotechnology,65636888.5,2
CAN,"Advertising|App Marketing|Chat|Telecommunications|Telephony",3109450,1
ISR,Software,14000000,1
USA,"CRM|Mobile|Real Estate|Virtual Workforces",3054000,1
JPN,Software,5447750,4
USA,"Real Estate|Startups",140000,1
CHL,Education|Finance|Kids,333989,1
USA,"Reviews and Recommendations",45000,1
USA,"Information Services",2095849,2
USA,"B2B|Email Newsletters|Internet|Social Media",1000000,1
JPN,Electronics|Manufacturing,811779,1
USA,"Gift Card|Social Media",50000,1
GBR,"Analytics|Banking|Big Data|Retail|SaaS|Sales and Marketing|Software",640000,1
JPN,"Advertising|Career Planning|Events|Graphics|Internet Marketing|Meeting Software",1000000,1
USA,Telecommunications|Wireless,1693138,1
CHE,Energy,1856869,1
USA,"Information Technology|Software",7770000,2
USA,"Enterprise Software|Retail Technology|Security",18527468,1
USA,"Energy|Energy Efficiency|Energy Management",800000,1
USA,"Enterprise Software|Health and Wellness|Internet|Project Management|Software",25000,1
USA,"Lasers|Manufacturing|Optical Communications",168000000,1
USA,SaaS|Services,40000000,1
USA,"Analytics|Big Data|Business Intelligence|SaaS|Sales and Marketing",41000016,1
USA,"Cloud Computing|Flash Storage|Networking|Peer-to-Peer|Storage|Synchronization|Trusted Networks|Web Hosting",250000,1
USA,"Analytics|CRM|Marketing Automation",1775000,1
USA,"Hardware + Software|iPad|iPhone|iPod Touch|Wireless",500000,1
GBR,"Financial Services",447804,2
USA,"Agriculture|Business Services|Consumers|Hospitality|Internet|Mobile",3800000,1
USA,"Automotive|Heavy Industry|Services",12500000,1
USA,"Curated Web|Natural Language Processing|Twitter Applications",90000,1
MEX,Delivery|E-Commerce|Fashion,10000,1
USA,"Mobile|Mobile Software Tools|VoIP",29000000,1
USA,E-Commerce|Internet|Mobile,425000,1
USA,"Brokers|Office Space|Real Estate|Real Time|Retail|Technology",2000000,1
FRA,"Apps|CRM|Facebook Applications|SaaS|Sales and Marketing|Social Media|Software",250000,1
ESP,B2B|E-Commerce|Fashion,94582,1
USA,Hospitality,10075665.666666666,12
DEU,"Agriculture|E-Commerce|Online Shopping",1000000,1
RUS,"Agriculture|Business Services|E-Commerce|Farmers Market|Farming|Lead Generation|Organic Food|Private Social Networking|Reviews and Recommendations",100000,1
DEU,"Clean Technology",81672000,1
USA,"Agriculture|Big Data|Information Services|Product Development Services",4349999,1
USA,"Agriculture|Analytics|Drones|Geospatial|Productivity Software|Technology",250000,1
CHL,"Agriculture|Specialty Chemicals|Technology",40000,1
USA,Agriculture|Hospitality|Technology,33333,1
BRA,Weddings,90000,1
USA,"Agriculture|Curated Web|Education|Fitness|Health and Wellness|Organic|Subscription Businesses|Sustainability",500000,1
NZL,Agriculture|SaaS,580000,1
USA,Agriculture|Farming|Software|Technology,300000,1
GBR,Agriculture|B2B|Farming|SaaS,300000,1
USA,"Agriculture|Big Data|Clean Technology|Software|Sustainability",2450000,1
USA,"Agriculture|Clean Technology|Enterprise Software|SaaS|Software",1200000,1
USA,"Content Creators|SaaS|Sales and Marketing|Social Bookmarking|Social Media|Software",12750000,1
CHN,Robotics,2000000,1
USA,"Social Network Media",4037500,2
KOR,Broadcasting|Software|Video,100484,1
IND,"Advertising|Business Development|Digital Media|Entrepreneur|Local Businesses|Local Services|Social Entrepreneurship|Startups",3201,1
USA,E-Commerce|Kids,300000,1
CHN,"Social Media",84219298,4
GBR,"Analytics|Artificial Intelligence|Business Intelligence|Consulting|Machine Learning",7500000,1
CHN,"Clean Technology|Environmental Innovation|Recycling",70000000,1
CHL,Education,40000,1
JPN,Games,20488705.5,2
BRA,"B2B|Financial Services|Internet|Payments|Software",2678886,1
USA,"Apps|Internet|Media|News|Software|Video|Video Streaming",8986842,1
BRA,Delivery,97560,1
GBR,"Gps|Location Based Services|Semiconductors",10000000,1
USA,"Assisitive Technology|Internet of Things|Machine Learning|Startups|Wearables",790000,1
USA,Automotive|Software|Wireless,35419873,1
USA,Bitcoin|Computers|Mobile,450000,1
USA,Hotels|Travel,2394820000,1
NLD,Aerospace|Automotive,11518329,1
USA,"Android|App Stores|Consumer Electronics|Entertainment|Hardware + Software|iPad|iPhone|Mobile|Technology",2450000,1
FRA,"B2B|Collaboration|Enterprise Software|Network Security|Telecommunications|Telephony",800000,1
USA,"Cloud Computing|Mobile|Software|Supply Chain Management|Transportation",27500000,1
BRA,"E-Commerce|Sales and Marketing|Software",89173,1
GBR,"Algorithms|Artificial Intelligence|Credit|Finance Technology|FinTech|Machine Learning",1400000,1
USA,"Analytics|Big Data|Email|Networking",3488033,1
USA,Legal|Transportation,4700000,1
USA,"Content Syndication",6220000,1
USA,Messaging|Telecommunications,12000000,1
USA,"Location Based Services|Mobile|Mobile Security|Mobility|Wireless",3675000,1
USA,"3D|Digital Signage|Navigation|Sensors",4249998,1
GBR,"E-Commerce|Point of Sale|Retail|Software",610540,1
USA,"Public Relations|Sales and Marketing",5000000,1
USA,"Public Transportation",8296041.8,5
USA,"3D Printing|Education",15000,1
USA,"Analytics|Big Data|Data Mining|Developer APIs|E-Commerce|Predictive Analytics|Travel",500000,1
GBR,Mobile|Wireless,2502038,1
USA,Aerospace|Mobile|Transportation|Travel,50000,1
TWN,"Android|B2B|Cloud Computing|E-Commerce|Internet|Mobile|Sales and Marketing|Security",2000000,1
USA,"Mobile|Web Hosting",141636023,1
USA,"Big Data|Big Data Analytics|Data Centers",2511000,1
USA,"Business Productivity|Data Visualization|Mobile|Productivity Software|Software",10600000,1
DNK,"Hardware|Hardware + Software|Wireless",2660000,1
AUS,"Apps|E-Commerce|Employment|Human Resources|Internet|Marketplaces|Mobile|Task Management|Web Development",8494150,1
USA,Security|Wireless,59450091,1
USA,"Messaging|Photography|Social Media|Video|Video Chat|Video on Demand",33458625,1
BRA,E-Commerce,6350000,2
USA,"Aerospace|Drones|Enterprise Software|Robotics",40420000,1
USA,"Mobile|Mobile Devices",225000000,1
CAN,Electronics,383290,1
USA,"EdTech|Education|Games|Gamification|MMO Games|Social Media",1500000,1
IND,Match-Making,100000,1
USA,"Advertising|Android|Apps|iPhone|Location Based Services|Mobile|Navigation|Retail",9740000,1
USA,"Advertising|Analytics|Coupons|Groceries|Sales and Marketing",5200000,1
USA,"Apps|iPhone|Mobile|Mobile Commerce|Retail|Startups",11500000,1
CAN,Analytics,1347305,1
ISR,Biotechnology|Pharmaceuticals,1250000,1
ARG,"Artificial Intelligence|Chat|Customer Service|Customer Support Tools",350000,1
USA,"Cloud Computing|Consulting|Gamification|Mobility|Monetization|Social Media",100000,1
IND,EdTech|Education,100000,1
USA,"Cloud Computing|Enterprise Software|Mobile|Open Source|Software",5550000,1
USA,"Events|Music|Social Media|Social Network Media|Travel",200000,1
FRA,Broadcasting|Entertainment|News,2000000,1
ESP,Games,3522825.0055,2
DEU,"B2B|Big Data Analytics|Predictive Analytics|SaaS",500000,1
PER,Education,322734,1
USA,"Analytics|Healthcare Services",4000000,1
RUS,Software,18705000,1
TUR,"Clean Technology",83300000,1
USA,"Health and Wellness|Medical Devices|Therapeutics",1514985,1
USA,Banking|Finance|Mobile|Payments|Peer-to-Peer,850000,1
USA,"Employment|Nonprofits|Personal Branding|Recruiting|Software",470000,1
IRL,"Business Intelligence|CRM|SaaS|Sales and Marketing|Software",27478,1
CAN,Games,1250000,2
IND,"Consumer Internet|Digital Media|Enterprise Software|Mobile",21200000,1
USA,"Business Intelligence|Finance|Investment Management",118000,1
POL,"Financial Services|Personal Finance",818499.9006,1
USA,E-Commerce|Fashion|Lifestyle|Shopping,500000,1
IDN,Advertising|SMS,250000,1
TUR,"Curated Web|Events|Weddings",30000,1
NLD,"Clean Technology|Water",2444718,1
ESP,"E-Commerce|Sales and Marketing",142765,1
EGY,"Console Gaming|Entertainment|Game|Games|Online Gaming",24000,1
ESP,"Mining Technologies|Property Management|Recycling",6000000,1
USA,"Internet of Things|Security",163000000,1
USA,"Customer Service|Hardware|Manufacturing",1000,1
USA,Fitness,2134999,1
USA,"Big Data|Databases|Information Technology|Technology",9000000,1
EGY,Auctions|E-Commerce|Internet|Shopping,55000,1
CAN,"Health Care|Health Care Information Technology|Information Technology",30000,1
BRA,Services,3300000,1
CAN,Hospitals,6000000,1
PAN,"Risk Management|Security",15000000,1
USA,"Financial Services|Health Care|Insurance|Utilities",3000000,1
CAN,Manufacturing,13352666.666666666,3
USA,Education|Enterprises|SaaS|Services,2100000,1
GBR,"Internet|Subscription Businesses|Television|Video on Demand",326702,1
USA,"Local Search|Non Profit|Services",17000,1
USA,"Corporate Training|Education",277500,1
USA,"Artificial Intelligence|Big Data|Big Data Analytics|Computer Vision|Developer APIs|Enterprise Software|Machine Learning|Natural Language Processing|Text Analytics",2000000,1
FRA,Electronics|Semiconductors|Technology,40663845,1
AUS,"Health Care",1500000,1
USA,"Finance|Health Care",14000000,1
USA,"Health Care|Hospitality",34500000,1
USA,Telecommunications,1500000,1
USA,"Information Technology|Services",500000,1
ESP,"Craft Beer",270862,1
CAN,"Health and Wellness",6171709,1
USA,Credit|Finance,50000,1
FRA,"Advertising|Analytics|Brand Marketing|Web Development",571520,1
FRA,Advertising,2000000,1
USA,"Hardware + Software|Health Care|Health Diagnostics|Pharmaceuticals",400000000,1
USA,Hardware|Semiconductors,123000000,1
USA,"Cloud Security|Network Security|Security",51311845,1
USA,"Healthcare Services|Mass Customization|Services|Technology",4160012,1
ESP,Crowdsourcing|E-Commerce|Mobile,530000,1
USA,"Charter Schools|Email|Messaging|Mobile Emergency&Health|News",1200000,1
USA,"Biotechnology|Health and Wellness|Medical",31322.81384,1
USA,Manufacturing|Motors|Recreation,10900000,1
USA,"Architecture|Business Services|Career Planning|Enterprises|Information Technology|Software",5200000,1
USA,"Home Automation|Services",12500000,1
GBR,"Document Management|Enterprises|Enterprise Software",68500000,1
USA,"Animal Feed|Clean Technology|Nutraceutical|Water",10065000,1
USA,"Big Data|Cloud Computing|E-Commerce|Enterprise Software|SaaS|Search|Software",22220043,1
CAN,"Algorithms|Computer Vision|Mobile|Photography|Software",2805667,1
USA,Consulting|Pharmaceuticals,161000,1
CHL,"Distribution|Logistics|Supply Chain Management",40000,1
MEX,Marketplaces,900000,1
USA,"Cloud Infrastructure|SaaS|Telecommunications|VoIP",15458196,1
USA,"Advertising|Collaboration|Sales and Marketing",4000000,1
USA,Hospitality|Mobile|Technology,3500000,1
USA,"Lifestyle|Online Dating|Social Network Media|Startups",100000,1
USA,"Internet|Local Businesses|SaaS|Sales and Marketing|Small and Medium Businesses|Software",11540578,1
USA,"Enterprise Software|SaaS|Sales and Marketing|Sales Automation",50000,1
IDN,"E-Commerce|Marketplaces|Online Shopping|Retail",100000,1
USA,"Biotechnology|Health Care|Medical|Pharmaceuticals",206050000,1
FRA,"Internet Service Providers|Messaging",1182833,1
ESP,Entertainment|Telecommunications|Wireless,831294,1
ITA,Travel,412000000,1
USA,"Networking|Social Media",2815000,2
USA,"Financial Services|FinTech|Software",43000000,1
FRA,Internet,5394111,1
USA,"Consumer Goods|Consumers|Environmental Innovation|Hardware + Software|Identity|Outdoors",250000,1
USA,"Media|Social Media",2000000,1
USA,"Renewable Energies|Renewable Tech",2000000,1
USA,"B2B|Human Resources|Recruiting|Virtual Workforces",1500000,1
USA,Design,4253285.714285715,7
USA,"Content Delivery|Enterprise Software|Mobile|SaaS|Sales and Marketing|Sales Automation",1700000,1
USA,"Curated Web|Media|Publishing|Small and Medium Businesses",22400000,1
USA,"Curated Web|Education|Search|Training",1500000,1
USA,"Analytics|Android|Data Security|Digital Rights Management|iOS|Security|Video on Demand|Video Streaming",3475204,1
ITA,"Industrial Automation|Industrial Energy Efficiency|Internet of Things|Smart Building|Smart Grid",539007,1
USA,"Data Mining|Software|Surveys",57262275,1
USA,Legal,4308318.75,4
USA,"Application Platforms|Internet|Services",110000000,1
USA,"Apps|Business Services|Cyber Security|Education|Events|Fashion|Finance|Gadget|Games|Internet Marketing|Internet of Things|Legal|Lifestyle|Media|Music|News|Politics|Reviews and Recommendations|Social Media|Startups|Technology|Venture Capital",150000,1
USA,"Business Development|Development Platforms|Entrepreneur",16000000,1
KOR,"Maps|Navigation|Travel & Tourism|Video",700000,1
USA,"Employment|Media|News|Publishing|Startups|Training|Venture Capital",40000,1
USA,"Gift Card|Loyalty Programs|Sales and Marketing|Software",600000,1
IND,Consulting,175000,1
USA,"Clean Technology|Internet|Local Businesses",1700000,1
USA,"Digital Signage|Information Technology|Mobile",12000000,1
IND,"Health and Wellness|Health Care",350000,1
USA,"Cloud Computing|Enterprise Software|Small and Medium Businesses|Software|Web Development",1000000,1
FRA,"Limousines|Mobile|Public Transportation|Taxis|Transportation|Travel",80039,1
SWE,"Android|Application Platforms|Security",220000,1
BRA,B2B|Pets|Software,24000,1
IND,E-Commerce|Education|Kids|Retail,1500000,1
USA,"Bridging Online and Offline|Mobile|Restaurants",1500000,1
USA,"Business Analytics|Geospatial|Infrastructure|Open Source",500000,1
USA,"Hotels|Online Travel|Travel",1100000,1
GBR,Advertising|Mobile|Search,858800,1
USA,Finance|Startups,3257500,2
DNK,Internet|Wireless,3700000,1
USA,Journalism|Media|News,4276568,1
USA,"Communications Hardware|Mobile|Telecommunications|VoIP",8500000,1
DEU,"Crowdsourcing|Machine Learning|Public Transportation|Transportation",2900000,1
USA,"Enterprise Software|Marketing Automation|Open Source",150000,1
USA,Agriculture|Biotechnology|Pharmaceuticals,30550000,1
NLD,Apps|Mobile|Software,126457.4218,1
ARG,"Beauty|Content|E-Commerce|Online Shopping",1225000,1
FRA,"Health and Wellness",54331585,1
USA,"Business Services|Events|Mobile",1525000,1
GBR,Hospitality,10038299,1
USA,"Apps|Location Based Services|Mobile",1500000,2
DEU,"Location Based Services|Mobile|Web Development",1500000,1
USA,"Blogging Platforms|Browser Extensions|Software",200000,1
SWE,Education,50000,1
USA,"Artificial Intelligence|FinTech|Machine Learning|Trading",1244661.104,1
USA,Semiconductors|Technology,6624997.5,2
RUS,"Artificial Intelligence|Information Services|Information Technology|Robotics",40000,1
USA,"Clean Technology|Energy",31000000,1
IND,Analytics|Automotive|E-Commerce|EdTech|Education|Internet|Payments,40000,1
USA,"Advertising|Social Media",1000000,1
USA,"Finance|Internet|Simulation|Stock Exchanges",4269000,1
USA,"Social Commerce",107060133,1
USA,"Bitcoin|Financial Exchanges|FinTech|Software",1350000,1
GBR,Energy,600000,1
USA,"Ad Targeting|Advertising|Brand Marketing|Social Television",300000,1
USA,"Customer Service",4800000,1
USA,"Analytics|Big Data Analytics",23500000,1
USA,"Biotechnology|Health Care|Medical",1300000,1
USA,"Hardware + Software|Mobile|Sports",2100000,1
USA,Manufacturing|Mobile|Solar,72000000,1
BRA,"Hardware + Software",15000000,1
USA,"Clean Technology|Energy|Natural Resources",26250000,1
USA,Aerospace|Manufacturing|Technology,22950,1
USA,"Art|Distribution|Entertainment|Games|Independent Music Labels|Music|Retail|Video Streaming",475000,1
RUS,"Advertising|Android|Apps|Discounts|Gps|Indoor Positioning|Information Technology|iPhone|Local Advertising|Local Search|Location Based Services|Mobile|Mobile Advertising|Navigation|Personalization|Private Social Networking|Reviews and Recommendations|Services|Social Media|Social Network Media|Technology|Windows Phone 7|Wireless",11000000,1
USA,"Analytics|Data Integration|Predictive Analytics",163000000,1
IND,"Hardware + Software",3000000,1
USA,Education|Mobile|Wireless,85100000,1
USA,"Big Data",21290000,2
GBR,"Aerospace|Drones|Internet of Things",380000,1
PHL,Games,1016000,1
USA,"Communications Infrastructure|CRM|Customer Support Tools|Marketing Automation|SaaS|Software",2000000,1
USA,E-Commerce|Retail,4137151,2
USA,"Search|Search Marketing|SEO|Software",9499393,1
USA,Education|Technology,133000000,1
USA,Technology,28512500,4
USA,"Medical|Online Education",829234,1
DEU,"Language Learning|Online Video Advertising|Video Streaming",1050000,1
USA,"All Students|Education|High Schools",20000,1
USA,"Application Platforms|Design|Web Hosting",40000,1
USA,Crowdfunding|Crowdsourcing|Entrepreneur|Finance|FinTech,125000,1
USA,"E-Commerce|Mobile|Social Media|Software",1300000,1
USA,"E-Commerce|Social Commerce",15590000,1
USA,Education|Teachers,650000,1
TUR,"E-Commerce|Online Shopping",950000,1
ISR,"Customer Service|Customer Support Tools|Knowledge Management|Q&A|SaaS|Software",300000,1
FRA,Consulting,24858097.54,1
USA,"Analytics|Optimization|Personalization|Reviews and Recommendations|Software|Testing",12800000,1
USA,"Manufacturing|Sporting Goods",100000,1
IRL,Biotechnology,35448000,2
IRL,"Information Technology|Services|Software|Technology",1626000,1
CAN,Gambling|Lotteries|Technology,800000,1
AUS,Mobile|Telecommunications,153721622,1
RUS,"Human Resources|Information Technology|Recruiting",800000,1
GBR,Ediscovery|Marketplaces|Music,2601885,1
USA,"Consumer Goods|Crowdsourcing|Delivery|E-Commerce|Groceries|Internet|Retail|Software",8000000,1
GBR,Security,4952499,2
USA,Broadcasting|Security|Semiconductors,15400000,1
USA,"Internet Marketing|Sales and Marketing|Social Commerce|Social Media Marketing|Software",5184434,1
CHL,"Ad Targeting|App Marketing|Apps|Big Data|Mobile|Technology",40000,1
USA,Leisure|Search|Travel,500000,1
GBR,Music,250503,2
USA,"Active Lifestyle|Fitness|Health and Wellness",500000,1
GBR,"iPhone|Location Based Services|Mobile|Software|Startups",900000,1
USA,"Internet of Things|Semiconductors|Wearables",36958609,1
CHN,"Customer Service|EdTech|Education",167000000,1
USA,"Clean Technology|Energy|Fuels",50000000,1
FIN,"Health Care|Nutrition|Organic",702824,1
USA,Watch|Wearables,110000,1
GBR,"Carbon|Clean Energy|Open Source|Software|Sustainability",10750000,1
USA,Media|News,555000,3
USA,"Finance|Real Estate|Senior Citizens",4000000,1
USA,Fashion|Manufacturing|Retail,25000000,1
USA,"Wine And Spirits",3835000,2
USA,"Clean Energy|Clean Technology",2100000,1
USA,E-Commerce|Fashion|Retail,2857421.5,2
USA,Legal|Publishing,3000000,1
USA,"Health and Wellness|Health Diagnostics",263500,1
USA,"Education|Material Science|Non Profit",7500000,1
USA,Medical|Pets,325000,1
USA,"Education|Mobile Commerce|Software",3460000,1
USA,"Communities|Curated Web|Portals",4400000,1
USA,"Business Services|Enterprise Software|Location Based Services|Maps",40000,1
BEL,"Aerospace|Automotive|Defense|Manufacturing|Productivity Software|SaaS|Software",1048105,1
USA,"Colleges|Innovation Management|Nonprofits|Politics|Social Media|Software",3780000,1
IND,"Apps|Mobile|Mobile Commerce",18015,1
USA,"Curated Web|Marketplaces|Music",3900000,1
FRA,"Computers|Service Providers|Translation",129679,1
USA,"Exercise|Fitness|Hardware|Hardware + Software|Health and Wellness|Technology|Tracking|Wearables",1750000,1
USA,"Health Care|Healthcare Services",26400000,1
USA,"Communities|Interest Graph|Mobile|Social Media",8150000,1
GBR,Entertainment|Media|Telecommunications,8505908,1
USA,"Aerospace|Energy|Manufacturing|Medical Devices|Software|Technology",202125,1
CHE,"Nonprofits|Web Development",9000000,1
USA,"Big Data|Brand Marketing|Digital Media|Internet Marketing|Mobile|Social Media Marketing|Technology|Video",72000000,1
FRA,"Environmental Innovation",888722,1
BEL,Analytics|Mobile|Retail,180187,1
USA,"Consumer Goods|Franchises|Services",25000,1
ISR,Apps|Mobile|Startups,400000,1
USA,"Information Technology|Intelligent Systems|Robotics",248250,1
USA,"B2B|CRM|E-Commerce|Enterprise Resource Planning|iOS|Mobile|Point of Sale|Retail Technology|SaaS|Software|Supply Chain Management",711518,1
CHE,"Electrical Distribution|Energy|Energy Management",2578524,1
USA,"Distribution|Smart Grid|Web Hosting",12900000,1
USA,"Babies|Curated Web|Finance|FinTech|Parenting",18000,1
USA,"Specialty Foods",4000000,1
